date,country_code,country_name,GDP_usd,CPI_index,FX_local_per_USD,Exports_usd,Imports_usd,Trade_balance_usd,Interest_rate_percent,WTI_usd_per_barrel
2008-04-01,VNM,Vietnam,100851392965.64905,87.24618507807882,16492.958333333325,68887381285.40947,81546269875.80905,-12658888590.399582,14.354928571428552,112.58045454545454
2008-05-01,VNM,Vietnam,101425089254.4896,87.72647902589999,16556.527777777766,68608182842.660095,80978223094.596,-12370040251.935898,13.878714285714267,125.39761904761905
2008-06-01,VNM,Vietnam,101998785543.33015,88.20677297372117,16620.097222222208,68328984399.91072,80410176313.38295,-12081191913.472229,13.402499999999984,133.88
2008-07-01,VNM,Vietnam,102572481832.1707,88.68706692154234,16683.66666666665,68049785957.16135,79842129532.16989,-11792343575.008545,12.9262857142857,133.3709090909091
2008-08-01,VNM,Vietnam,103146178121.01125,89.16736086936352,16747.23611111109,67770587514.41197,79274082750.95685,-11503495236.544876,12.450071428571418,116.66619047619047
2008-09-01,VNM,Vietnam,103719874409.8518,89.6476548171847,16810.805555555533,67491389071.6626,78706035969.7438,-11214646898.081207,11.973857142857135,104.11428571428571
2008-10-01,VNM,Vietnam,104293570698.69235,90.12794876500587,16874.374999999975,67212190628.91322,78137989188.53075,-10925798559.617523,11.49764285714285,76.6086956521739
2008-11-01,VNM,Vietnam,104867266987.5329,90.60824271282705,16937.944444444416,66932992186.16385,77569942407.3177,-10636950221.153854,11.021428571428569,57.30947368421053
2008-12-01,VNM,Vietnam,105440963276.37346,91.08853666064822,17001.513888888858,66653793743.414474,77001895626.10464,-10348101882.69017,10.545214285714284,41.121818181818185
2009-01-01,VNM,Vietnam,106014659565.214,91.5688306084694,17065.0833333333,66374595300.6651,76433848844.8916,-10059253544.226501,10.069,41.71
2009-02-01,VNM,Vietnam,109446869034.52776,92.27142805776361,17194.069444444416,67489002429.99246,77400112473.53835,-9911110043.545883,10.324520833333334,39.08736842105263
2009-03-01,VNM,Vietnam,112879078503.8415,92.97402550705783,17323.055555555533,68603409559.31982,78366376102.18509,-9762966542.865273,10.580041666666666,47.939090909090915
2009-04-01,VNM,Vietnam,116311287973.15526,93.67662295635205,17452.04166666665,69717816688.64717,79332639730.83182,-9614823042.184647,10.8355625,49.64666666666666
